Gene symbol	Gene name	Transcript	Exons in transcript	CDS length
MYPN	myopalladin	NM_032578.4	20	3963
MYPOP	Myb related transcription factor, partner of profilin	NM_001012643.4	3	1200
MYRF	myelin regulatory factor	NM_001127392.3	27	3456
MYRFL	myelin regulatory factor like	NM_182530.3	25	2733
MYRIP	myosin VIIA and Rab interacting protein	NM_001284423.2	17	2580
MYSM1	Myb like, SWIRM and MPN domains 1	NM_001085487.3	20	2487
MYT1	myelin transcription factor 1	NM_004535.3	23	3366
MYT1L	myelin transcription factor 1 like	NM_015025.4	25	3555
MYZAP	myocardial zonula adherens protein	NM_001018100.5	13	1401
MZB1	marginal zone B and B1 cell specific protein	NM_016459.4	4	570
MZF1	myeloid zinc finger 1	NM_003422.3	6	2205
MZT1	mitotic spindle organizing protein 1	NM_001071775.3	3	249
MZT2A	mitotic spindle organizing protein 2A	NM_001085365.2	3	477
MZT2B	mitotic spindle organizing protein 2B	NM_001330282.2	4	657
N4BP1	NEDD4 binding protein 1	NM_153029.4	7	2691
N4BP2	NEDD4 binding protein 2	NM_018177.6	18	5313
N4BP2L1	NEDD4 binding protein 2 like 1	NM_001286459.2	6	732
N4BP2L2	NEDD4 binding protein 2 like 2	NM_033111.5	10	2259
N4BP3	NEDD4 binding protein 3	NM_015111.2	5	1635
N6AMT1	N-6 adenine-specific DNA methyltransferase 1	NM_013240.6	6	645
NAA10	N-alpha-acetyltransferase 10, NatA catalytic subunit	NM_003491.4	8	708
NAA11	N-alpha-acetyltransferase 11, NatA catalytic subunit	NM_032693.3	2	690
NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	NM_057175.5	20	2601
NAA16	N-alpha-acetyltransferase 16, NatA auxiliary subunit	NM_024561.5	20	2595
NAA20	N-alpha-acetyltransferase 20, NatB catalytic subunit	NM_181527.3	6	501
NAA25	N-alpha-acetyltransferase 25, NatB auxiliary subunit	NM_024953.4	24	2919
NAA30	N-alpha-acetyltransferase 30, NatC catalytic subunit	NM_001011713.3	5	1089
NAA35	N-alpha-acetyltransferase 35, NatC auxiliary subunit	NM_024635.4	23	2178
NAA38	N-alpha-acetyltransferase 38, NatC auxiliary subunit	NM_032356.6	2	522
NAA40	N-alpha-acetyltransferase 40, NatD catalytic subunit	NM_024771.4	8	714
NAA50	N-alpha-acetyltransferase 50, NatE catalytic subunit	NM_025146.4	5	510
NAA60	N-alpha-acetyltransferase 60, NatF catalytic subunit	NM_001317093.1	7	750
NAA80	N-alpha-acetyltransferase 80, NatH catalytic subunit	NM_012191.4	2	927
NAAA	N-acylethanolamine acid amidase	NM_014435.4	11	1080
NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	NM_005467.4	19	2223
NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1	NM_005468.3	18	2223
NAALADL2	N-acetylated alpha-linked acidic dipeptidase like 2	NM_207015.3	14	2388
NAB1	NGFI-A binding protein 1	NM_001321312.2	8	1464
NAB2	NGFI-A binding protein 2	NM_005967.4	7	1578
NABP1	nucleic acid binding protein 1	NM_001031716.5	6	615
NABP2	nucleic acid binding protein 2	NM_024068.4	7	636
NACA	nascent polypeptide associated complex subunit alpha	NM_001113203.3	11	2778
NACA2	nascent polypeptide associated complex subunit alpha 2	NM_199290.4	1	648
NACAD	NAC alpha domain containing	NM_001146334.2	8	4689
NACC1	nucleus accumbens associated 1	NM_052876.4	6	1584
NACC2	NACC family member 2	NM_144653.5	6	1764
NADK	NAD kinase	NM_001198994.2	14	1776
NADK2	NAD kinase 2, mitochondrial	NM_001085411.3	12	1329
NADSYN1	NAD synthetase 1	NM_018161.5	21	2121
NAE1	NEDD8 activating enzyme E1 subunit 1	NM_001286500.2	20	1614
NAF1	nuclear assembly factor 1 ribonucleoprotein	NM_138386.3	8	1485
NAGA	alpha-N-acetylgalactosaminidase	NM_000262.3	9	1236
NAGK	N-acetylglucosamine kinase	NM_017567.6	10	1035
NAGLU	N-acetyl-alpha-glucosaminidase	NM_000263.4	6	2232
NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	NM_016256.4	10	1548
NAGS	N-acetylglutamate synthase	NM_153006.3	7	1605
NAIF1	nuclear apoptosis inducing factor 1	NM_197956.4	2	984
NAIP	NLR family apoptosis inhibitory protein	NM_001346870.2	17	4212
NALCN	sodium leak channel, non-selective	NM_052867.4	44	5217
NALF1	NALCN channel auxiliary factor 1	NM_001080396.3	3	1377
NALF2	NALCN channel auxiliary factor 2	NM_015686.3	3	1419
NAMPT	nicotinamide phosphoribosyltransferase	NM_005746.3	11	1476
NANOG	Nanog homeobox	NM_024865.4	4	918
NANOGNB	NANOG neighbor homeobox	NM_001145465.1	4	567
NANOGP8	Nanog homeobox retrogene P8	NM_001355281.2	1	918
NANOS1	nanos C2HC-type zinc finger 1	NM_199461.4	1	879
NANOS2	nanos C2HC-type zinc finger 2	NM_001029861.3	1	417
NANOS3	nanos C2HC-type zinc finger 3	NM_001098622.3	2	579
NANP	N-acetylneuraminic acid phosphatase	NM_152667.3	2	747
NANS	N-acetylneuraminate synthase	NM_018946.4	6	1080
NAP1L1	nucleosome assembly protein 1 like 1	NM_001330231.2	16	1176
NAP1L2	nucleosome assembly protein 1 like 2	NM_021963.4	1	1383
NAP1L3	nucleosome assembly protein 1 like 3	NM_004538.6	1	1521
NAP1L4	nucleosome assembly protein 1 like 4	NM_005969.4	16	1128
NAP1L5	nucleosome assembly protein 1 like 5	NM_153757.4	1	549
NAPA	NSF attachment protein alpha	NM_003827.4	11	888
NAPB	NSF attachment protein beta	NM_001283018.2	11	909
NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	NM_001122838.3	5	1182
NAPG	NSF attachment protein gamma	NM_003826.3	12	939
NAPRT	nicotinate phosphoribosyltransferase	NM_145201.6	13	1617
NAPSA	napsin A aspartic peptidase	NM_004851.3	9	1263
NARF	nuclear prelamin A recognition factor	NM_031968.2	12	1509
NARS1	asparaginyl-tRNA synthetase 1	NM_004539.4	14	1647
NARS2	asparaginyl-tRNA synthetase 2, mitochondrial	NM_024678.6	14	1434
NASP	nuclear autoantigenic sperm protein	NM_002482.4	15	2367
NAT1	N-acetyltransferase 1	NM_000662.8	3	873
NAT10	N-acetyltransferase 10	NM_024662.3	29	3078
NAT14	N-acetyltransferase 14 (putative)	NM_020378.4	3	621
NAT16	N-acetyltransferase 16 (putative)	NM_198571.3	4	1110
NAT2	N-acetyltransferase 2	NM_000015.3	2	873
NAT8	N-acetyltransferase 8 (putative)	NM_003960.4	2	684
NAT8L	N-acetyltransferase 8 like	NM_178557.4	3	909
NAT9	N-acetyltransferase 9 (putative)	NM_001305082.2	7	639
NATD1	N-acetyltransferase domain containing 1	NM_152914.3	3	341
NAV1	neuron navigator 1	NM_020443.5	30	5634
NAV2	neuron navigator 2	NM_145117.5	38	7290
NAV3	neuron navigator 3	NM_001024383.2	40	7158
NAXD	NAD(P)HX dehydratase	NM_001242881.2	10	1044
NAXE	NAD(P)HX epimerase	NM_144772.3	6	867
NBAS	NBAS subunit of NRZ tethering complex	NM_015909.4	52	7116
NBDY	negative regulator of P-body association	NM_001348129.2	3	207
NBEA	neurobeachin	NM_015678.5	58	8841
NBEAL1	neurobeachin like 1	NM_001114132.2	55	8085
NBEAL2	neurobeachin like 2	NM_015175.3	54	8265
NBL1	NBL1, DAN family BMP antagonist	NM_182744.4	4	651
NBN	nibrin	NM_002485.5	16	2265
NBPF1	NBPF member 1	NM_017940.6	28	3369
NBPF10	NBPF member 10	NM_001039703.6	86	10881
NBPF11	NBPF member 11	NM_001101663.5	24	2598
NBPF14	NBPF member 14	NM_015383.2	66	8403
NBPF15	NBPF member 15	NM_001170755.3	24	2013
NBPF26	NBPF member 26	NM_001351372.1	30	4011
NBPF3	NBPF member 3	NM_032264.6	15	1902
NBPF4	NBPF member 4	NM_001143989.3	15	1917
NBPF6	NBPF member 6	NM_001143987.2	16	2004
NBPF8	NBPF member 8	NM_001037501.5	23	2825
NBPF9	NBPF member 9	NM_001037675.4	27	2827
NBR1	NBR1 autophagy cargo receptor	NM_005899.5	21	2901
NCALD	neurocalcin delta	NM_001040624.2	8	582
NCAM1	neural cell adhesion molecule 1	NM_000615.7	19	2547
NCAM2	neural cell adhesion molecule 2	NM_004540.5	18	2514
NCAN	neurocan	NM_004386.3	15	3966
NCAPD2	non-SMC condensin I complex subunit D2	NM_014865.4	32	4206
NCAPD3	non-SMC condensin II complex subunit D3	NM_015261.3	35	4497
NCAPG	non-SMC condensin I complex subunit G	NM_022346.5	21	3048
NCAPG2	non-SMC condensin II complex subunit G2	NM_017760.7	28	3432
NCAPH	non-SMC condensin I complex subunit H	NM_015341.5	18	2226
NCAPH2	non-SMC condensin II complex subunit H2	NM_001185011.2	20	1821
NCBP1	nuclear cap binding protein subunit 1	NM_002486.5	23	2373
NCBP2	nuclear cap binding protein subunit 2	NM_007362.5	4	471
NCBP2AS2	NCBP2 antisense 2 (head to head)	NM_001355243.2	1	300
NCBP2L	nuclear cap binding protein subunit 2 like	NM_001348372.2	2	462
NCBP3	nuclear cap binding subunit 3	NM_001114118.3	13	1863
NCCRP1	NCCRP1, F-box associated domain containing	NM_001001414.2	6	828
NCDN	neurochondrin	NM_001014839.2	8	2190
NCEH1	neutral cholesterol ester hydrolase 1	NM_001146276.3	5	1251
NCF1	neutrophil cytosolic factor 1	NM_000265.7	11	1173
NCF2	neutrophil cytosolic factor 2	NM_000433.4	15	1581
NCF4	neutrophil cytosolic factor 4	NM_013416.4	9	1047
NCK1	NCK adaptor protein 1	NM_006153.6	4	1134
NCK2	NCK adaptor protein 2	NM_001004720.3	4	1143
NCKAP1	NCK associated protein 1	NM_205842.3	32	3405
NCKAP1L	NCK associated protein 1 like	NM_005337.5	31	3384
NCKAP5	NCK associated protein 5	NM_207363.3	20	5730
NCKAP5L	NCK associated protein 5 like	NM_001037806.4	13	4005
NCKIPSD	NCK interacting protein with SH3 domain	NM_016453.4	13	2169
NCL	nucleolin	NM_005381.3	14	2133
NCLN	nicalin	NM_020170.4	15	1692
NCMAP	non-compact myelin associated protein	NM_001010980.5	4	309
NCOA1	nuclear receptor coactivator 1	NM_003743.5	23	4326
NCOA2	nuclear receptor coactivator 2	NM_006540.4	23	4395
NCOA3	nuclear receptor coactivator 3	NM_181659.3	23	4275
NCOA4	nuclear receptor coactivator 4	NM_001145260.2	12	1953
NCOA5	nuclear receptor coactivator 5	NM_020967.3	8	1740
NCOA6	nuclear receptor coactivator 6	NM_014071.5	15	6192
NCOA7	nuclear receptor coactivator 7	NM_181782.5	16	2829
NCOR1	nuclear receptor corepressor 1	NM_006311.4	46	7323
NCOR2	nuclear receptor corepressor 2	NM_006312.6	49	7545
NCR1	natural cytotoxicity triggering receptor 1	NM_004829.7	7	915
NCR2	natural cytotoxicity triggering receptor 2	NM_004828.4	5	831
NCR3	natural cytotoxicity triggering receptor 3	NM_147130.3	4	606
NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1	NM_001202439.3	5	1365
NCS1	neuronal calcium sensor 1	NM_014286.4	8	573
NCSTN	nicastrin	NM_015331.3	17	2130
NDC1	NDC1 transmembrane nucleoporin	NM_018087.5	18	2025
NDC80	NDC80 kinetochore complex component	NM_006101.3	17	1929
NDE1	nudE neurodevelopment protein 1	NM_001143979.2	10	1008
NDEL1	nudE neurodevelopment protein 1 like 1	NM_030808.5	9	1038
NDFIP1	Nedd4 family interacting protein 1	NM_030571.4	8	666
NDFIP2	Nedd4 family interacting protein 2	NM_019080.3	8	1011
NDN	necdin, MAGE family member	NM_002487.3	1	966
NDNF	neuron derived neurotrophic factor	NM_024574.4	4	1707
NDOR1	NADPH dependent diflavin oxidoreductase 1	NM_014434.4	14	1794
NDP	norrin cystine knot growth factor NDP	NM_000266.4	3	402
NDRG1	N-myc downstream regulated 1	NM_006096.4	16	1185
NDRG2	NDRG family member 2	NM_001320329.2	16	1116
NDRG3	NDRG family member 3	NM_022477.4	15	1092
NDRG4	NDRG family member 4	NM_001130487.2	16	1176
NDST1	N-deacetylase and N-sulfotransferase 1	NM_001543.5	15	2649
NDST2	N-deacetylase and N-sulfotransferase 2	NM_003635.4	15	2652
NDST3	N-deacetylase and N-sulfotransferase 3	NM_004784.3	14	2622
NDST4	N-deacetylase and N-sulfotransferase 4	NM_022569.3	14	2619
NDUFA1	NADH:ubiquinone oxidoreductase subunit A1	NM_004541.4	3	213
NDUFA10	NADH:ubiquinone oxidoreductase subunit A10	NM_004544.4	10	1068
NDUFA11	NADH:ubiquinone oxidoreductase subunit A11	NM_175614.5	4	426
NDUFA12	NADH:ubiquinone oxidoreductase subunit A12	NM_018838.5	4	438
NDUFA13	NADH:ubiquinone oxidoreductase subunit A13	NM_015965.7	5	435
NDUFA2	NADH:ubiquinone oxidoreductase subunit A2	NM_002488.5	3	300
NDUFA3	NADH:ubiquinone oxidoreductase subunit A3	NM_004542.4	4	255
NDUFA4	NDUFA4 mitochondrial complex associated	NM_002489.4	4	246
NDUFA4L2	NDUFA4 mitochondrial complex associated like 2	NM_020142.4	5	264
NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	NM_001291304.2	7	549
NDUFA6	NADH:ubiquinone oxidoreductase subunit A6	NM_002490.6	3	387
NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	NM_005001.5	4	342
NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	NM_014222.3	4	519
NDUFA9	NADH:ubiquinone oxidoreductase subunit A9	NM_005002.5	11	1134
NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	NM_005003.3	5	471
NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1	NM_016013.4	5	984
NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	NM_174889.5	4	510
NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3	NM_199069.2	5	555
NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4	NM_014165.4	3	528
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	NM_024120.5	11	1038
NDUFAF6	NADH:ubiquinone oxidoreductase complex assembly factor 6	NM_152416.4	9	1002
NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	NM_001083946.2	8	1032
NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8	NM_001086521.2	3	225
NDUFB1	NADH:ubiquinone oxidoreductase subunit B1	NM_004545.4	3	177
NDUFB10	NADH:ubiquinone oxidoreductase subunit B10	NM_004548.3	4	519
NDUFB11	NADH:ubiquinone oxidoreductase subunit B11	NM_019056.7	3	492
NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	NM_004546.3	4	318
NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	NM_002491.3	3	297
NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	NM_004547.6	3	390
NDUFB5	NADH:ubiquinone oxidoreductase subunit B5	NM_002492.4	6	570
NDUFB6	NADH:ubiquinone oxidoreductase subunit B6	NM_002493.5	4	387
NDUFB7	NADH:ubiquinone oxidoreductase subunit B7	NM_004146.6	3	414
NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	NM_005004.4	5	561
NDUFB9	NADH:ubiquinone oxidoreductase subunit B9	NM_005005.3	4	540
NDUFC1	NADH:ubiquinone oxidoreductase subunit C1	NM_001184986.1	6	231
NDUFC2	NADH:ubiquinone oxidoreductase subunit C2	NM_004549.6	3	360
NDUFC2-KCTD14	NDUFC2-KCTD14 readthrough	NM_001203260.2	4	405
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	NM_005006.7	19	2184
NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	NM_004550.5	15	1392
NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	NM_004551.3	7	795
NDUFS4	NADH:ubiquinone oxidoreductase subunit S4	NM_002495.4	5	528
NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	NM_004552.3	3	321
NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	NM_004553.6	4	375
NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7	NM_024407.5	8	642
NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8	NM_002496.4	7	633
NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	NM_007103.4	10	1395
NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	NM_021074.5	8	750
NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	NM_021075.4	4	1422
NEB	nebulin	NM_001271208.2	183	25683
NEBL	nebulette	NM_006393.3	28	3045
NECAB1	N-terminal EF-hand calcium binding protein 1	NM_022351.5	13	1056
NECAB2	N-terminal EF-hand calcium binding protein 2	NM_019065.3	13	1161
NECAB3	N-terminal EF-hand calcium binding protein 3	NM_031231.4	13	1089
NECAP1	NECAP endocytosis associated 1	NM_015509.4	8	828
NECAP2	NECAP endocytosis associated 2	NM_001145277.2	7	822
NECTIN1	nectin cell adhesion molecule 1	NM_002855.5	6	1554
NECTIN2	nectin cell adhesion molecule 2	NM_001042724.2	9	1617
NECTIN3	nectin cell adhesion molecule 3	NM_015480.3	6	1650
NECTIN4	nectin cell adhesion molecule 4	NM_030916.3	9	1533
NEDD1	NEDD1 gamma-tubulin ring complex targeting factor	NM_001135175.2	15	2004
NEDD4	NEDD4 E3 ubiquitin protein ligase	NM_198400.3	22	3744
NEDD4L	NEDD4 like E3 ubiquitin protein ligase	NM_015277.6	30	2868
NEDD8	NEDD8 ubiquitin like modifier	NM_006156.3	4	246
NEDD8-MDP1	NEDD8-MDP1 readthrough	NM_001199823.3	7	582
NEDD9	neural precursor cell expressed, developmentally down-regulated 9	NM_001142393.2	8	2505
NEFH	neurofilament heavy chain	NM_021076.4	4	3063
NEFL	neurofilament light chain	NM_006158.5	4	1632
NEFM	neurofilament medium chain	NM_005382.2	3	2751
NEGR1	neuronal growth regulator 1	NM_173808.3	7	1065
NEIL1	nei like DNA glycosylase 1	NM_024608.4	10	1173
NEIL2	nei like DNA glycosylase 2	NM_145043.4	5	999
NEIL3	nei like DNA glycosylase 3	NM_018248.3	10	1818
NEK1	NIMA related kinase 1	NM_001199397.3	36	3861
NEK10	NIMA related kinase 10	NM_199347.4	25	2139
NEK11	NIMA related kinase 11	NM_024800.5	18	1938
NEK2	NIMA related kinase 2	NM_002497.4	8	1338
NEK3	NIMA related kinase 3	NM_002498.3	16	1520
NEK4	NIMA related kinase 4	NM_003157.6	16	2526
NEK5	NIMA related kinase 5	NM_199289.3	22	2127
NEK6	NIMA related kinase 6	NM_001145001.3	11	1044
NEK7	NIMA related kinase 7	NM_133494.3	10	909
NEK8	NIMA related kinase 8	NM_178170.3	15	2079
NEK9	NIMA related kinase 9	NM_033116.6	22	2940
NELFA	negative elongation factor complex member A	NM_005663.5	11	1587
NELFB	negative elongation factor complex member B	NM_015456.5	13	1887
NELFCD	negative elongation factor complex member C/D	NM_198976.4	15	1746
NELFE	negative elongation factor complex member E	NM_002904.6	11	1143
NELL1	neural EGFL like 1	NM_006157.5	20	2433
NELL2	neural EGFL like 2	NM_001145108.2	20	2451
NEMF	nuclear export mediator factor	NM_004713.6	33	3231
NEMP1	nuclear envelope integral membrane protein 1	NM_001130963.2	9	1335
NEMP2	nuclear envelope integral membrane protein 2	NM_001142645.2	9	1254
NENF	neudesin neurotrophic factor	NM_013349.5	4	519
NEO1	neogenin 1	NM_002499.4	29	4386
NEPRO	nucleolus and neural progenitor protein	NM_015412.4	9	1704
NES	nestin	NM_006617.2	4	4866
NET1	neuroepithelial cell transforming 1	NM_001047160.3	12	1791
NETO1	neuropilin and tolloid like 1	NM_001201465.3	11	1602
NETO2	neuropilin and tolloid like 2	NM_018092.5	9	1578
NEU1	neuraminidase 1	NM_000434.4	6	1248
NEU2	neuraminidase 2	NM_005383.2	2	1143
NEU3	neuraminidase 3	NM_006656.6	3	1386
NEU4	neuraminidase 4	NM_080741.4	4	1491
NEURL1	neuralized E3 ubiquitin protein ligase 1	NM_004210.5	6	1725
NEURL1B	neuralized E3 ubiquitin protein ligase 1B	NM_001142651.3	5	1668
NEURL2	neuralized E3 ubiquitin protein ligase 2	NM_080749.4	2	858
NEURL3	neuralized E3 ubiquitin protein ligase 3	NM_001285485.2	4	789
NEURL4	neuralized E3 ubiquitin protein ligase 4	NM_032442.3	29	4689
NEUROD1	neuronal differentiation 1	NM_002500.5	2	1071
NEUROD2	neuronal differentiation 2	NM_006160.4	2	1149
NEUROD4	neuronal differentiation 4	NM_021191.3	2	996
NEUROD6	neuronal differentiation 6	NM_022728.4	2	1014
NEUROG1	neurogenin 1	NM_006161.3	1	714
NEUROG2	neurogenin 2	NM_024019.4	2	819
NEUROG3	neurogenin 3	NM_020999.4	2	645
NEXMIF	neurite extension and migration factor	NM_001008537.3	4	4551
NEXN	nexilin F-actin binding protein	NM_144573.4	13	2028
NF1	neurofibromin 1	NM_000267.3	57	8457
NF2	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor	NM_000268.4	16	1788
NFAM1	NFAT activating protein with ITAM motif 1	NM_145912.8	6	813
NFASC	neurofascin	NM_015090.4	27	3510
NFAT5	nuclear factor of activated T cells 5	NM_138714.4	16	4368
NFATC1	nuclear factor of activated T cells 1	NM_006162.5	10	2478
NFATC2	nuclear factor of activated T cells 2	NM_173091.4	10	2778
NFATC2IP	nuclear factor of activated T cells 2 interacting protein	NM_032815.4	8	1260
NFATC3	nuclear factor of activated T cells 3	NM_173165.3	10	3228
NFATC4	nuclear factor of activated T cells 4	NM_004554.5	10	2709
NFE2	nuclear factor, erythroid 2	NM_001136023.3	3	1122
NFE2L1	NFE2 like bZIP transcription factor 1	NM_003204.3	6	2319
NFE2L2	NFE2 like bZIP transcription factor 2	NM_006164.5	5	1818
NFE2L3	NFE2 like bZIP transcription factor 3	NM_004289.7	4	2085
NFIA	nuclear factor I A	NM_005595.5	10	1497
NFIB	nuclear factor I B	NM_001190737.2	11	1485
NFIC	nuclear factor I C	NM_001245002.2	11	1527
NFIL3	nuclear factor, interleukin 3 regulated	NM_001289999.2	2	1389
NFILZ	NFIL3 like basic leucine zipper	NM_001378599.1	8	870
NFIX	nuclear factor I X	NM_001271043.2	11	1533
NFKB1	nuclear factor kappa B subunit 1	NM_003998.4	24	2910
NFKB2	nuclear factor kappa B subunit 2	NM_001077494.3	23	2703
NFKBIA	NFKB inhibitor alpha	NM_020529.3	6	954
NFKBIB	NFKB inhibitor beta	NM_002503.5	6	1071
NFKBID	NFKB inhibitor delta	NM_001321831.2	12	987
NFKBIE	NFKB inhibitor epsilon	NM_004556.3	6	1086
NFKBIL1	NFKB inhibitor like 1	NM_005007.4	4	1146
NFKBIZ	NFKB inhibitor zeta	NM_031419.4	12	2157
NFRKB	nuclear factor related to kappaB binding protein	NM_006165.4	25	3975
NFS1	NFS1 cysteine desulfurase	NM_021100.5	13	1374
NFU1	NFU1 iron-sulfur cluster scaffold	NM_001002755.4	8	765
NFX1	nuclear transcription factor, X-box binding 1	NM_001318758.2	24	3366
NFXL1	nuclear transcription factor, X-box binding like 1	NM_152995.6	23	2736
NFYA	nuclear transcription factor Y subunit alpha	NM_002505.5	10	1044
NFYB	nuclear transcription factor Y subunit beta	NM_006166.4	8	624
NFYC	nuclear transcription factor Y subunit gamma	NM_001308114.1	10	1377
NGB	neuroglobin	NM_021257.4	4	456
NGDN	neuroguidin	NM_001042635.2	11	948
NGEF	neuronal guanine nucleotide exchange factor	NM_019850.3	15	2133
NGF	nerve growth factor	NM_002506.3	3	726
NGFR	nerve growth factor receptor	NM_002507.4	6	1284
NGLY1	N-glycanase 1	NM_018297.4	12	1965
NGRN	neugrin, neurite outgrowth associated	NM_001033088.3	3	876
NHEJ1	non-homologous end joining factor 1	NM_024782.3	8	900
NHLH1	nescient helix-loop-helix 1	NM_005598.4	2	402
NHLH2	nescient helix-loop-helix 2	NM_005599.3	3	408
NHLRC1	NHL repeat containing E3 ubiquitin protein ligase 1	NM_198586.3	1	1188
NHLRC2	NHL repeat containing 2	NM_198514.4	11	2181
NHLRC3	NHL repeat containing 3	NM_001012754.4	7	1044
NHLRC4	NHL repeat containing 4	NM_001301159.2	2	372
NHP2	NHP2 ribonucleoprotein	NM_017838.4	4	462
NHS	NHS actin remodeling regulator	NM_198270.4	8	4893
NHSL1	NHS like 1	NM_001144060.2	8	4821
NHSL2	NHS like 2	NM_001013627.3	8	3678
NIBAN1	niban apoptosis regulator 1	NM_052966.4	14	2787
NIBAN2	niban apoptosis regulator 2	NM_001035534.3	14	2202
NIBAN3	niban apoptosis regulator 3	NM_173544.5	16	2094
NICN1	nicolin 1, tubulin polyglutamylase complex subunit	NM_032316.3	6	642
NID1	nidogen 1	NM_002508.3	20	3744
NID2	nidogen 2	NM_007361.4	22	4128
NIF3L1	NGG1 interacting factor 3 like 1	NM_001136039.2	7	1134
NIFK	nucleolar protein interacting with the FHA domain of MKI67	NM_032390.5	7	882
NIM1K	NIM1 serine/threonine protein kinase	NM_153361.4	4	1311
NIN	ninein	NM_020921.4	31	6402
NINJ1	ninjurin 1	NM_004148.4	4	459
NINJ2	ninjurin 2	NM_016533.6	4	429
NINL	ninein like	NM_025176.6	24	4149
NIP7	nucleolar pre-rRNA processing protein NIP7	NM_016101.5	5	543
NIPA1	NIPA magnesium transporter 1	NM_144599.5	5	990
NIPA2	NIPA magnesium transporter 2	NM_001184889.2	10	1083
NIPAL1	NIPA like domain containing 1	NM_207330.3	6	1233
NIPAL2	NIPA like domain containing 2	NM_001321635.2	11	1152
NIPAL3	NIPA like domain containing 3	NM_020448.5	12	1221
NIPAL4	NIPA like domain containing 4	NM_001099287.2	6	1215
NIPBL	NIPBL cohesin loading factor	NM_133433.4	47	8415
NIPSNAP1	nipsnap homolog 1	NM_003634.4	10	855
NIPSNAP2	nipsnap homolog 2	NM_001483.3	10	861
NIPSNAP3A	nipsnap homolog 3A	NM_015469.3	6	744
NIPSNAP3B	nipsnap homolog 3B	NM_018376.4	6	744
NISCH	nischarin	NM_007184.4	21	4515
NIT1	nitrilase 1	NM_005600.3	7	984
NIT2	nitrilase family member 2	NM_020202.5	10	831
NKAIN1	sodium/potassium transporting ATPase interacting 1	NM_024522.3	7	624
NKAIN2	sodium/potassium transporting ATPase interacting 2	NM_001040214.3	7	627
NKAIN3	sodium/potassium transporting ATPase interacting 3	NM_001304533.3	7	657
NKAIN4	sodium/potassium transporting ATPase interacting 4	NM_152864.4	7	627
NKAP	NFKB activating protein	NM_024528.4	9	1248
NKAPD1	NKAP domain containing 1	NM_001082969.2	6	882
NKAPL	NFKB activating protein like	NM_001007531.3	1	1209
NKD1	NKD inhibitor of WNT signaling pathway 1	NM_033119.5	10	1413
NKD2	NKD inhibitor of WNT signaling pathway 2	NM_033120.4	10	1356
NKG7	natural killer cell granule protein 7	NM_005601.4	4	498
NKIRAS1	NFKB inhibitor interacting Ras like 1	NM_020345.4	5	579
NKIRAS2	NFKB inhibitor interacting Ras like 2	NM_001001349.2	4	576
NKPD1	NTPase KAP family P-loop domain containing 1	NM_198478.4	5	2499
NKRF	NFKB repressing factor	NM_017544.5	3	2354
NKTR	natural killer cell triggering receptor	NM_005385.4	17	4389
NKX1-1	NK1 homeobox 1	NM_001290079.1	2	1347
NKX1-2	NK1 homeobox 2	NM_001146340.3	2	933
NKX2-1	NK2 homeobox 1	NM_001079668.3	3	1206
NKX2-2	NK2 homeobox 2	NM_002509.4	2	822
NKX2-3	NK2 homeobox 3	NM_145285.3	2	1095
NKX2-4	NK2 homeobox 4	NM_033176.2	2	1065
NKX2-5	NK2 homeobox 5	NM_004387.4	2	975
NKX2-6	NK2 homeobox 6	NM_001136271.3	2	906
NKX2-8	NK2 homeobox 8	NM_014360.4	2	720
NKX3-1	NK3 homeobox 1	NM_006167.4	2	705
